Total clientes: 52
  cliente=RESERVA | projetos=['AWS']
  cliente=CLOUDDOG - DEMANDAS INTERNAS | projetos=['AWS']
  cliente=ATTO SEMENTES | projetos=['AWS']
  cliente=CORPCLOUD | projetos=['AWS']
  cliente=GREENN | projetos=['AWS']
  cliente=Projetos Internos | projetos=['AWS', 'BW', 'CI', 'NATTER', 'PJT', 'PV', 'RSV']
  cliente=REALS BET | projetos=['AWS']
  cliente=JETBOV | projetos=['AWS']
  cliente=PEEX | projetos=['AWS']
  cliente=CLOUDDOG | projetos=['AWS']
  cliente=OFICIAL_FARMA | projetos=['AWS']
  cliente=ATTO TECHNOLOGY | projetos=['AWS']
  cliente=BRAAVO | projetos=['AWS']
  cliente=CLOUDDOG - ESTUDOS | projetos=['AWS']
  cliente=SINCRONISMO | projetos=['AWS']
  cliente=VITAFOR | projetos=['AWS']
  cliente=PULSAR | projetos=['AWS']
  cliente=BIO2 | projetos=['AWS']
  cliente=BRASIL OPEN BADGE | projetos=['AWS']
  cliente=ATTO INTELLIGENCE | projetos=['AWS']
  cliente=FEATCODE | projetos=['AWS']
  cliente=CLOUDDOG - APOIO INTERNO | projetos=['AWS']
  cliente=NITZSCHE | projetos=['AWS']
  cliente=FOCUS_NFE | projetos=['AWS']
  cliente=CONSIGLOG | projetos=['AWS']
  cliente=VBS | projetos=['AWS']
  cliente=ZENITECH | projetos=['AWS']
  cliente=QUATA | projetos=['AWS']
  cliente=TALK RADIO | projetos=['AWS']
  cliente=DIA | projetos=['AWS']
  cliente=ROBERTY APP | projetos=['AWS']
  cliente=BRINDE.ME | projetos=['AWS']
  cliente=TELTELECOM | projetos=['AWS']
  cliente=DINHEIROW | projetos=['AWS']
  cliente=GUEPTECH | projetos=['AWS']
  cliente=ADALTECH | projetos=['AWS']
  cliente=ALTOQI | projetos=['AWS']
  cliente=CELERE | projetos=['AWS']
  cliente=ESATTO | projetos=['AWS']
  cliente=INED | projetos=['AWS']
  cliente=INTEGRA-FACIL | projetos=['AWS']
  cliente=PAULISTA SERVIÇOS | projetos=['AWS']
  cliente=SMCLICK | projetos=['AWS']
  cliente=INOVASHOP | projetos=['AWS']
  cliente=IOTAHUB | projetos=['AWS']
  cliente=DGT | projetos=['AWS']
  cliente=NODE TECH | projetos=['AWS']
  cliente=RIO VERDE | projetos=['AWS']
  cliente=LWART | projetos=['AWS']
  cliente=MULTIMOVEIS | projetos=['AWS']
  cliente=FEMME | projetos=['AWS']
  cliente=ECONFORM | projetos=['AWS']
